STUDY_ID;MODEL_TYPE;CELL;CANCER_DISEASE;SITE;T0_cells;BASELINE_mL;AGE;SEX_1_female;BACKGROUND;STRAIN;EUTHANIZED;tf_days;N_mice;BASELINE_days;BASELINE_differential;FIG;HR;HR_LB;HR_UB;MedS;MedSD;MeanS;MeanSD;TREATMENT_1;TREATMENT_2;TREATMENT_3;TREATMENT_4;TREAT_START_1;TREAT_START_2;TREAT_START_3;TREAT_START_4;FREQ_1;FREQ_2;FREQ_3;FREQ_4;DOSE_1;DOSE_2;DOSE_3;DOSE_4;AGENT_1;AGENT_2;AGENT_3;AGENT_4;ROUTE_1;ROUTE_2;ROUTE_3;ROUTE_4;SIGNIFICANT
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4a;;;;;;;;antiCTLA4;antiSEMA4D;NA;NA;6;0;0;0;Q3Dx3;Q7Dx8;NA;NA;5;50;0;0;4F10-UC10-11;67-2;NA;NA;IP;IP;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4a;;;;;;;;antiCTLA4;antiPD1;NA;NA;6;0;0;0;Q3Dx3;Q3Dx16;NA;NA;5;5;0;0;4F10-UC10-11;RMP1-14;NA;NA;IP;IP;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4b;;;;;;;;antiPD1;NA;NA;NA;1;0;0;0;Q3Dx16;NA;NA;NA;5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4b;;;;;;;;antiPD1;antiSEMA4D;NA;NA;1;0;0;0;Q3Dx16;Q7Dx8;NA;NA;5;50;0;0;RMP1-14;67-2;NA;NA;IP;IP;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4c;;;;;;;;Cyclophosphamide;NA;NA;NA;12;0;0;0;Q8Dx2;NA;NA;NA;50;0;0;0;Cyclophosphomide;NA;NA;NA;IP;NA;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;20;2;0;4c;;;;;;;;antiSEMA4D;Cyclophosphamide;NA;NA;0;12;0;0;Q7Dx8;Q8Dx2;NA;NA;50;50;0;0;67-2;Cyclophosphamide;NA;NA;IP;IP;NA;NA;1
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;15;2;0;SFig6a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Evans_2015;SyMM;Colon26;Colon cancer;SC;0,5;ND;YOUNG;1;BALB/cJ;WT;>1cm3;60;15;2;0;SFig6a;;;;;;;;antiCTLA4;NA;NA;NA;6;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;4F10-UC10-11;NA;NA;NA;IP;NA;NA;NA;1
Evans_2015;SyMM;TUBOA5;Breast cancer;OT;0,03;0,1;YOUNG;1;BALB/cJ;WT;>1cm3;100;20;21;0;SFig7a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Evans_2015;SyMM;TUBOA5;Breast cancer;OT;0,03;0,1;YOUNG;1;BALB/cJ;WT;>1cm3;100;20;21;0;SFig7a;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;4F10-UC10-11;NA;NA;NA;IP;NA;NA;NA;1
Evans_2015;SyMM;TUBOA5;Breast cancer;OT;0,03;0,1;YOUNG;1;BALB/cJ;WT;>1cm3;100;20;21;0;SFig7a;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;12,5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;0
Evans_2015;SyMM;TUBOA5;Breast cancer;OT;0,03;0,1;YOUNG;1;BALB/cJ;WT;>1cm3;100;20;21;0;SFig7a;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;12,5;0;0;4F10-UC10-11;RMP1-14;NA;NA;IP;IP;NA;NA;1
Fear_2018;SyMM;AB12;Mesothelioma;SC;0,5;0,012;YOUNG;1;BALB/c;WT;>1;55;10;10;0;4a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;PBS;;;NA;IP;NA;NA;NA; NA
Fear_2018;SyMM;AB12;Mesothelioma;SC;0,5;0,012;YOUNG;1;BALB/c;WT;>1;55;10;10;0;4a;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB12;Mesothelioma;SC;0,5;0,012;YOUNG;1;BALB/c;WT;>1;55;10;10;0;4a;;;;;;;;antiOX40;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;OX-86;;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB12;Mesothelioma;SC;0,5;0,012;YOUNG;1;BALB/c;WT;>1;55;10;10;0;4a;;;;;;;;antiGITR;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;2,5;0;0;0;DTA-1;;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB12;Mesothelioma;SC;0,5;0,012;YOUNG;1;BALB/c;WT;>1;55;10;10;0;4a;;;;;;;;antiCTLA4;antiOX40;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;10;0;0;9H10;OX-86;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;7;10;0;1b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;PBS;;;NA;IP;NA;NA;NA;NA
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;8;10;0;1b;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;8;10;0;1b;;;;;;;;antiOX40;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;OX-86;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;8;10;0;1b;;;;;;;;antiGITR;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;2,5;0;0;0;DTA-1;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;8;10;0;1b;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;RMP1-14;;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;8;10;0;1b;;;;;;;;antiTIM3;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;RMT-3-23;;;NA;IP;NA;NA;NA;0
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;10;10;0;2a;;;;;;;;antiCTLA4;antiOX40;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;10;0;0;9H10;OX-86;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;10;10;0;2a;;;;;;;;antiCTLA4;antiGITR;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;2,5;0;0;9H10;DTA-1;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;AB1HA;Mesothelioma;SC;0,5;NA;YOUNG;1;BALB/c;WT;OTHER;70;10;10;0;2a;;;;;;;;antiGITR;antiOX40;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;2,5;10;0;0;DTA-1;OX-86;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;Line1M;Lung cancer;SC;1;0,012;YOUNG;1;BALB/c;WT;>1;65;10;10;0;4d;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;PBS;;;NA;IP;NA;NA;NA;NA
Fear_2018;SyMM;Line1M;Lung cancer;SC;1;0,012;YOUNG;1;BALB/c;WT;>1;65;10;10;0;4d;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;Line1M;Lung cancer;SC;1;0,012;YOUNG;1;BALB/c;WT;>1;65;10;10;0;4d;;;;;;;;antiOX40;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;OX-86;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;Line1M;Lung cancer;SC;1;0,012;YOUNG;1;BALB/c;WT;>1;65;10;10;0;4d;;;;;;;;antiGITR;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;2,5;0;0;0;DTA-1;;;NA;IP;NA;NA;NA;1
Fear_2018;SyMM;Line1M;Lung cancer;SC;1;0,012;YOUNG;1;BALB/c;WT;>1;65;10;10;0;4d;;;;;;;;antiCTLA4;antiOX40;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;10;0;0;9H10;OX-86;;NA;IP;NA;NA;NA;1
Fecci_2007;SyMM;SMA560;Glioblastoma;OT;0,005;NA;ND;ND;VM/Dk;WT;ND;100;10;7;0;1a;;;;26;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fecci_2007;SyMM;SMA560;Glioblastoma;OT;0,005;NA;ND;ND;VM/Dk;WT;ND;100;10;7;0;1a;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;NA;NA;NA;IP;NA;NA;NA;1
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;40;12;7;0;6b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;40;12;7;7;6b;;;;;;;;WR;NA;NA;NA;1;0;0;0;Q3Dx2;NA;NA;NA;10;0;0;0;WR;NA;NA;NA;IT;NA;NA;NA;1
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;40;12;7;7;6b;;;;;;;;antiPD1;NA;NA;NA;1;0;0;0;Q3Dx3;NA;NA;NA;12,5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;1
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;40;14;7;7;6b;;;;;;;;antiPD1;WR;NA;NA;1;2;0;0;Q3Dx3;Q3Dx2;NA;NA;12,5;10;0;0;RMP1-14;WR;NA;NA;IP;IT;NA;NA;1
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;60;6;7;0;6d;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;60;6;7;0;6d;;;;;;;;WR;NA;NA;NA;1;0;0;0;Q3Dx2;NA;NA;NA;10;0;0;0;WR;NA;NA;NA;IT;NA;NA;NA;1
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;60;6;7;0;6d;;;;;;;;antiCTLA4;NA;NA;NA;1;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9D9;NA;NA;NA;IP;NA;NA;NA;0
Fend_2017;SyMM;MCA205;Fibrosarcoma;SC;0,8;0,252982213;YOUNG;ND;VM/Dk;WT;ND;60;6;7;0;6d;;;;;;;;antiCTLA4;WR;NA;NA;1;2;0;0;Q3Dx3;Q3Dx2;NA;NA;5;10;0;0;9D9;WR;NA;NA;IP;IT;NA;NA;1
Foy_2016;SyMM;CT26HER2;Colon cancer;IV;0,05;ND;YOUNG;1;BALB/c;WT;OTHER;100;25;3;0;1;;;;30;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Foy_2016;SyMM;CT26HER2;Colon cancer;IV;0,05;ND;YOUNG;1;BALB/c;WT;OTHER;100;25;3;0;1;;;;35;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q14Dx2;NA;NA;NA;10;0;0;0;9D9;NA;NA;NA;IP;NA;NA;NA;1
Foy_2016;SyMM;CT26HER2;Colon cancer;IV;0,05;ND;YOUNG;1;BALB/c;WT;OTHER;100;28;4;0;1;;;;49,5;;;;MVABNHER2;NA;NA;NA;0;0;0;0;Q14Dx2;NA;NA;NA;10;0;0;0;MVA-BN-HER2;NA;NA;NA;TS;NA;NA;NA;1
Foy_2016;SyMM;CT26HER2;Colon cancer;IV;0,05;ND;YOUNG;1;BALB/c;WT;OTHER;100;28;3;0;1;;;;NR;;;;antiCTLA4;MVABNHER2;NA;NA;0;1;0;0;Q14Dx2;Q14Dx2;NA;NA;10;10;0;0;9D9;MVA-BN-HER2;NA;NA;IP;TS;NA;NA;1
Fransen_2013;SyMM;MC38;Colon cancer;SC;0,2;0,005;YOUNG;1;C57BL/6J;WT;>1cm3;60;12;6;0;2b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fransen_2013;SyMM;MC38;Colon cancer;SC;0,2;0,005;YOUNG;1;C57BL/6J;WT;>1cm3;60;12;6;0;2b;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;2,5;0;0;0;9H10;NA;NA;NA;SC;NA;NA;NA;1
Fransen_2013;SyMM;MC38OVA;Colon cancer;SC;0,5;0,005;YOUNG;1;C57BL/6J;WT;>1cm3;80;32;6;0;1ci;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fransen_2013;SyMM;MC38OVA;Colon cancer;SC;0,5;0,005;YOUNG;1;C57BL/6J;WT;>1cm3;80;32;6;0;1cii;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx2;NA;NA;NA;10;0;0;0;9H10;NA;NA;NA;IP;NA;NA;NA;1
Fransen_2013;SyMM;MC38OVA;Colon cancer;SC;0,5;0,005;YOUNG;1;C57BL/6J;WT;>1cm3;80;32;6;0;1ci;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;2,5;0;0;0;9H10;NA;NA;NA;SC;NA;NA;NA;1
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;WT;>1.5cm;100;25;3;0;5bi;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;WT;>1.5cm;100;25;3;0;5bi;;;;;;;;antiCTLA4;GVAX;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;1;0;0;9H10;B16/BL6-GVAX;NA;NA;IP;ID;NA;NA;1
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;ICOS-/-;>1.5cm;100;25;3;0;5bii;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;ICOS-/-;>1.5cm;100;25;3;0;5bii;;;;;;;;antiCTLA4;GVAX;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;1;0;0;9H10;B16/BL6-GVAX;NA;NA;IP;ID;NA;NA;1
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;ICOSL-/-;>1.5cm;100;25;3;0;5biii;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;d;NA;NA;NA;0
Fu_2011;SyMM;B16BL6;Melanoma;ID;0,01;ND;ND;ND;C57BL/6J;ICOSL-/-;>1.5cm;100;25;3;0;5biii;;;;;;;;antiCTLA4;GVAX;NA;NA;0;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;1;0;0;9H10;B16/BL6-GVAX;NA;NA;IP;ID;NA;NA;1
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;2;;;;20;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;2;;;;32;;;;rrVSV;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;300;0;0;0;rrVSV;NA;NA;NA;IP;NA;NA;NA;1
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;5i;;;;;;;;antiCTLA4;NA;NA;NA;1;0;0;0;SD;NA;NA;NA;10;300;0;0;9H10;rrVSV;NA;NA;IP;NA;NA;NA;ND
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;5i;;;;;;;;antiCTLA4;rrVSV;NA;NA;1;0;0;0;SD;SD;NA;NA;10;300;0;0;9H10;rrVSV;NA;NA;IP;NA;NA;NA;1
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;5ii;;;;;;;;antiCTLA4;rrVSV;NA;NA;3;0;0;0;SD;SD;NA;NA;10;300;0;0;9H10;rrVSV;NA;NA;IP;NA;NA;NA;ND
Gao_2009;SyMM;D2F2E2;Breast cancer;IP;2;ND;ND;1;BALB/c;WT;Metastasis;40;5;3;0;5iii;;;;;;;;antiCTLA4;rrVSV;NA;NA;7;0;0;0;SD;SD;NA;NA;10;300;0;0;9H10;rrVSV;NA;NA;IP;NA;NA;NA;ND
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;13;1;0;6ci;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;15;1;0;6ci;;;;;;;;IDOi;NA;NA;NA;0;0;0;0;2Q1WxQ1Dx5;NA;NA;NA;800;0;0;0;1-D-MT;NA;NA;NA;OR;NA;NA;NA;0
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;5;1;0;6cii;;;;;;;;IDOi;NA;NA;NA;0;0;0;0;2Q1WxQ1Dx5;NA;NA;NA;800;0;0;0;1-DL-MT;NA;NA;NA;OR;NA;NA;NA;0
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;9;3;0;6e;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;9;3;0;6e;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;4F10;NA;NA;NA;IP;NA;NA;NA;1
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;8;7;0;6f;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Garg_2017;SyMM;GL261;Glioblastoma;OT;0,5;ND;YOUNG;1;C57BL/6J;WT;0;100;12;7;0;6f;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q7Dx3;NA;NA;NA;5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;1
Genoud_2018;SyMM;GL261;Glioblastoma;IC;0,05;NA;YOUNG;1;C57BL/6;WT;OTHER;100;12;7;0;5c;;;;31;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Genoud_2018;SyMM;GL261;Glioblastoma;IC;0,05;NA;YOUNG;1;C57BL/6;WT;OTHER;100;12;7;0;5c;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q2Dx5;Q2Dx5;NA;NA;10;10;0;0;RMP1-14;9D9;NA;NA;IP;IP;NA;NA;1
Genoud_2018;SyMM;SB28;Glioblastoma;IC;0,0016;NA;YOUNG;1;C57BL/6;WT;OTHER;40;12;7;0;5b;;;;29;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Genoud_2018;SyMM;SB28;Glioblastoma;IC;0,0016;NA;YOUNG;1;C57BL/6;WT;OTHER;40;12;7;0;5b;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q2Dx5;Q2Dx5;NA;NA;10;10;0;0;RMP1-14;9D9;NA;NA;IP;IP;NA;NA;0
Giles_2018;SyMM;GL261;Glioblastoma;OT;0,001;ND;YOUNG;1;C57BL/6J;WT;ND;50;8;7;0;5d;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Giles_2018;SyMM;GL261;Glioblastoma;OT;0,001;ND;YOUNG;1;C57BL/6J;WT;ND;50;8;7;0;5d;;;;;;;;Dexamethasone;NA;NA;NA;0;0;0;0;Q1Dx14;NA;NA;NA;1;0;0;0;D2915;NA;NA;NA;OR;NA;NA;NA;0
Giles_2018;SyMM;GL261;Glioblastoma;OT;0,001;ND;YOUNG;1;C57BL/6J;WT;ND;50;8;13;0;5d;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;BE0131;NA;NA;NA;IP;NA;NA;NA;0
Giles_2018;SyMM;GL261;Glioblastoma;OT;0,001;ND;YOUNG;1;C57BL/6J;WT;ND;50;8;7;0;5d;;;;;;;;antiCTLA4;Dexamethasone;NA;NA;6;0;0;0;Q3Dx3;Q1Dx14;NA;NA;5;1;0;0;BE0131;D2915;NA;NA;IP;OR;NA;NA;1
Grabosch_2019;SyMM;2F8;Ovarian Cancer;IP;0,8;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;10;14;0;5ai;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Grabosch_2019;SyMM;2F8;Ovarian Cancer;IP;0,8;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;6;14;0;5ai;;;;;;;;Cisplatin;NA;NA;NA;0;0;0;0;Q14Dx3;NA;NA;NA;75;0;0;0;Cisplatin;NA;NA;NA;IP;NA;NA;NA;1
Grabosch_2019;SyMM;2F8;Ovarian Cancer;IP;0,8;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;7;14;0;5ai;;;;;;;;antiPDL1;NA;NA;NA;0;0;0;0;Q14Dx3;NA;NA;NA;10;0;0;0;ND;NA;NA;NA;IP;NA;NA;NA;1
Grabosch_2019;SyMM;2F8;Ovarian Cancer;IP;0,8;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;6;14;0;5ai;;;;;;;;antiPDL1;Cisplatin;NA;NA;0;0;0;0;Q14Dx3;Q14Dx3;NA;NA;10;75;0;0;ND;Cisplatin;NA;NA;IP;IP;NA;NA;0
Grabosch_2019;SyMM;2F8cis;Ovarian Cancer;IP;5;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;10;14;0;5aii;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Grabosch_2019;SyMM;2F8cis;Ovarian Cancer;IP;5;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;8;14;0;5aii;;;;;;;;Cisplatin;NA;NA;NA;0;0;0;0;Q14Dx3;NA;NA;NA;75;0;0;0;Cisplatin;NA;NA;NA;IP;NA;NA;NA;0
Grabosch_2019;SyMM;2F8cis;Ovarian Cancer;IP;5;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;7;14;0;5aii;;;;;;;;antiPDL1;NA;NA;NA;0;0;0;0;Q14Dx3;NA;NA;NA;10;0;0;0;ND;NA;NA;NA;IP;NA;NA;NA;0
Grabosch_2019;SyMM;2F8cis;Ovarian Cancer;IP;5;ND;YOUNG;1;129S1/SvlmJ;MUC1+/-;Moribund;50;7;14;0;5aii;;;;;;;;antiPDL1;Cisplatin;NA;NA;0;0;0;0;Q14Dx3;Q14Dx3;NA;NA;10;75;0;0;ND;Cisplatin;NA;NA;IP;IP;NA;NA;1
Guan_2018;SyMM;GL26cit;Glioblastoma;OT;0,04;ND;YOUNG;1;C57BL/6J;WT;OTHER;90;5;2;0;8b;;;;24;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Guan_2018;SyMM;GL26cit;Glioblastoma;OT;0,04;ND;YOUNG;1;C57BL/6J;WT;OTHER;90;5;2;0;8b;;;;26;;;;Temozolomide;NA;NA;NA;0;0;0;0;Q1Dx5;NA;NA;NA;2,5;0;0;0;Temozolomide;NA;NA;NA;IP;NA;NA;NA;1
Guan_2018;SyMM;GL26cit;Glioblastoma;OT;0,04;ND;YOUNG;1;C57BL/6J;WT;OTHER;90;5;2;0;8b;;;;26;;;;NHE1i;NA;NA;NA;0;0;0;0;Q1Dx5;NA;NA;NA;0,5;0;0;0;HOE642;NA;NA;NA;IP;NA;NA;NA;1
